    time     score     fuel       Sx       Sy   target
       0 0.000000 10000.000000 -6556995.342903 7814.932739 42164000.000000
       1 0.000000 10000.000000 -6556981.371618 15629.854376 42164000.000000
       2 0.000000 10000.000000 -6556958.086164 23444.753811 42164000.000000
       3 0.000000 10000.000000 -6556925.486576 31259.619943 42164000.000000
       4 0.000000 10000.000000 -6556883.572899 39074.441671 42164000.000000
       5 0.000000 10000.000000 -6556832.345193 46889.207894 42164000.000000
       6 0.000000 10000.000000 -6556771.803530 54703.907511 42164000.000000
       7 0.000000 10000.000000 -6556701.947997 62518.529421 42164000.000000
       8 0.000000 10000.000000 -6556622.778693 70333.062524 42164000.000000
       9 0.000000 10000.000000 -6556534.295730 78147.495719 42164000.000000
      10 0.000000 10000.000000 -6556436.499234 85961.817906 42164000.000000
      11 0.000000 10000.000000 -6556329.389344 93776.017984 42164000.000000
      12 0.000000 10000.000000 -6556212.966212 101590.084854 42164000.000000
      13 0.000000 10000.000000 -6556087.230003 109404.007415 42164000.000000
      14 0.000000 10000.000000 -6555952.180897 117217.774569 42164000.000000
      15 0.000000 10000.000000 -6555807.819084 125031.375215 42164000.000000
      16 0.000000 10000.000000 -6555654.144770 132844.798254 42164000.000000
      17 0.000000 10000.000000 -6555491.158174 140658.032588 42164000.000000
      18 0.000000 10000.000000 -6555318.859526 148471.067118 42164000.000000
      19 0.000000 10000.000000 -6555137.249072 156283.890745 42164000.000000
      20 0.000000 10000.000000 -6554946.327069 164096.492371 42164000.000000
      21 0.000000 10000.000000 -6554746.093789 171908.860899 42164000.000000
      22 0.000000 10000.000000 -6554536.549516 179720.985231 42164000.000000
      23 0.000000 10000.000000 -6554317.694548 187532.854270 42164000.000000
      24 0.000000 10000.000000 -6554089.529195 195344.456919 42164000.000000
      25 0.000000 10000.000000 -6553852.053782 203155.782082 42164000.000000
      26 0.000000 10000.000000 -6553605.268647 210966.818663 42164000.000000
      27 0.000000 10000.000000 -6553349.174139 218777.555567 42164000.000000
      28 0.000000 10000.000000 -6553083.770622 226587.981697 42164000.000000
      29 0.000000 10000.000000 -6552809.058474 234398.085961 42164000.000000
      30 0.000000 10000.000000 -6552525.038084 242207.857263 42164000.000000
      31 0.000000 10000.000000 -6552231.709857 250017.284509 42164000.000000
      32 0.000000 10000.000000 -6551929.074208 257826.356607 42164000.000000
      33 0.000000 10000.000000 -6551617.131568 265635.062463 42164000.000000
      34 0.000000 10000.000000 -6551295.882380 273443.390986 42164000.000000
      35 0.000000 10000.000000 -6550965.327100 281251.331083 42164000.000000
      36 0.000000 10000.000000 -6550625.466198 289058.871664 42164000.000000
      37 0.000000 10000.000000 -6550276.300156 296866.001638 42164000.000000
      38 0.000000 10000.000000 -6549917.829471 304672.709915 42164000.000000
      39 0.000000 10000.000000 -6549550.054651 312478.985405 42164000.000000
      40 0.000000 10000.000000 -6549172.976219 320284.817020 42164000.000000
      41 0.000000 10000.000000 -6548786.594711 328090.193671 42164000.000000
      42 0.000000 10000.000000 -6548390.910676 335895.104272 42164000.000000
      43 0.000000 10000.000000 -6547985.924675 343699.537735 42164000.000000
      44 0.000000 10000.000000 -6547571.637284 351503.482974 42164000.000000
      45 0.000000 10000.000000 -6547148.049092 359306.928904 42164000.000000
      46 0.000000 10000.000000 -6546715.160699 367109.864439 42164000.000000
      47 0.000000 10000.000000 -6546272.972722 374912.278496 42164000.000000
      48 0.000000 10000.000000 -6545821.485788 382714.159992 42164000.000000
      49 0.000000 10000.000000 -6545360.700538 390515.497843 42164000.000000
      50 0.000000 10000.000000 -6544890.617628 398316.280969 42164000.000000
      51 0.000000 10000.000000 -6544411.237724 406116.498288 42164000.000000
      52 0.000000 10000.000000 -6543922.561508 413916.138720 42164000.000000
      53 0.000000 10000.000000 -6543424.589674 421715.191185 42164000.000000
      54 0.000000 10000.000000 -6542917.322929 429513.644606 42164000.000000
      55 0.000000 10000.000000 -6542400.761994 437311.487904 42164000.000000
      56 0.000000 10000.000000 -6541874.907602 445108.710003 42164000.000000
      57 0.000000 10000.000000 -6541339.760502 452905.299826 42164000.000000
      58 0.000000 10000.000000 -6540795.321452 460701.246299 42164000.000000
      59 0.000000 10000.000000 -6540241.591226 468496.538348 42164000.000000
      60 0.000000 10000.000000 -6539678.570611 476291.164899 42164000.000000
      61 0.000000 10000.000000 -6539106.260406 484085.114880 42164000.000000
      62 0.000000 10000.000000 -6538524.661425 491878.377220 42164000.000000
      63 0.000000 10000.000000 -6537933.774494 499670.940849 42164000.000000
      64 0.000000 10000.000000 -6537333.600451 507462.794697 42164000.000000
      65 0.000000 10000.000000 -6536724.140150 515253.927696 42164000.000000
      66 0.000000 10000.000000 -6536105.394456 523044.328778 42164000.000000
      67 0.000000 10000.000000 -6535477.364249 530833.986878 42164000.000000
      68 0.000000 10000.000000 -6534840.050420 538622.890930 42164000.000000
      69 0.000000 10000.000000 -6534193.453874 546411.029871 42164000.000000
      70 0.000000 10000.000000 -6533537.575530 554198.392636 42164000.000000
      71 0.000000 10000.000000 -6532872.416320 561984.968165 42164000.000000
